url,snippet
https://vimeo.com/privacy," … children\"":[\""$\"",\""strong\"",\""mark\"",{\""className\"":\""font-bold\"",\""children\"":\""Protecting our services:\""}]}],[\""$\"",\""$3\"",\""1\"",{\""children\"":\"" We use your data to … "
https://vimeo.com/privacy," … 0\"",{\""children\"":[\""$\"",\""strong\"",\""mark\"",{\""className\"":\""font-bold\"",\""children\"":\""Legal compliance:\""}]}],[\""$\"",\""$3\"",\""1\"",{\""children\"":\"" We use your data where … "
https://vimeo.com/privacy," … justify-self-start\"",\""children\"":[[\""$\"",\""$3\"",\""EL6h1lEo1qlA\"",{\""children\"":[[\""$\"",\""$3\"",\""0\"",{\""children\"":\""Whenever we process your data for one of … "
https://vimeo.com/privacy," … text-start justify-self-start\"",\""children\"":[[\""$\"",\""$3\"",\""qBHPzQqETrU4\"",{\""children\"":[[\""$\"",\""$3\"",\""0\"",{\""children\"":\""Compliance with a legal obligation; or … "
https://vimeo.com/privacy," … 6 pr-2\"",\""children\"":[\""$\"",\""a\"",null,{\""href\"":\""#id-5.-with-whom-we-share-your-data\"",\""aria-label\"":\""Direct … "
https://vimeo.com/privacy," … start justify-self-start\"",\""children\"":[[\""$\"",\""$3\"",\""4F8DDcLh5ykj\"",{\""children\"":[[\""$\"",\""$3\"",\""0\"",{\""children\"":\""We share data with third parties as … "
https://vimeo.com/privacy," … children\"":[\""$\"",\""strong\"",\""mark\"",{\""className\"":\""font-bold\"",\""children\"":\""With your consent:\""}]}],[\""$\"",\""$3\"",\""1\"",{\""children\"":\"" We may share your data … "
https://vimeo.com/privacy,"\""$3\"",\""1\"",{\""children\"":\"" We may share your data with third-party vendors that help us operate and improve … "
https://vimeo.com/privacy," … 0\"",{\""children\"":[\""$\"",\""strong\"",\""mark\"",{\""className\"":\""font-bold\"",\""children\"":\""Advertising:\""}]}],[\""$\"",\""$3\"",\""1\"",{\""children\"":\"" We may share your data with … "
https://vimeo.com/privacy," … 0\"",{\""children\"":[\""$\"",\""strong\"",\""mark\"",{\""className\"":\""font-bold\"",\""children\"":\""Analytics:\""}]}],[\""$\"",\""$3\"",\""1\"",{\""children\"":\"" We may share your data with … "
https://vimeo.com/privacy," … children\"":[\""$\"",\""strong\"",\""mark\"",{\""className\"":\""font-bold\"",\""children\"":\""Affiliates and advisors:\""}]}],[\""$\"",\""$3\"",\""1\"",{\""children\"":\"" We may share your data … "
https://vimeo.com/privacy," … children\"":[\""$\"",\""strong\"",\""mark\"",{\""className\"":\""font-bold\"",\""children\"":\""Certain legal situations:\""}]}],[\""$\"",\""$3\"",\""1\"",{\""children\"":\"" We may share your data … "
https://vimeo.com/privacy," … 705af0AMnDdE\"",{\""children\"":[[\""$\"",\""$3\"",\""0\"",{\""children\"":\""We use reasonable efforts to vet vendors for their privacy and data security … "
https://vimeo.com/privacy,"We require that all vendors agree to protect the data we share.\""}]]}]]}],[\""$\"",\""h4\"",\""esxRVvrH2T8r\"",{\""id\"":\""enterprise-accounts\"",\""className … "
https://vimeo.com/privacy," … children\"":[[\""$\"",\""$3\"",\""0\"",{\""children\"":\""The organization may establish a direct relationship with us and migrate your data to … "
https://vimeo.com/privacy," … justify-self-start\"",\""children\"":[[\""$\"",\""$3\"",\""rT9HC1Xuznnj\"",{\""children\"":[[\""$\"",\""$3\"",\""0\"",{\""children\"":\""We may disclose your data in response to … "
https://vimeo.com/privacy," … justify-self-start\"",\""children\"":[[\""$\"",\""$3\"",\""hu2p84dxvxr5\"",{\""children\"":[[\""$\"",\""$3\"",\""0\"",{\""children\"":\""We may disclose user data where we reasonably … "
https://vimeo.com/privacy," … justify-self-start\"",\""children\"":[[\""$\"",\""$3\"",\""58swFbr6vyQV\"",{\""children\"":[[\""$\"",\""$3\"",\""0\"",{\""children\"":\""We may disclose user data in situations involving … "
https://vimeo.com/privacy," … 1] -ml-6 pr-2\"",\""children\"":[\""$\"",\""a\"",null,{\""href\"":\""#id-7.-data-retention\"",\""aria-label\"":\""Direct link to … "
https://vimeo.com/privacy," … justify-self-start\"",\""children\"":[[\""$\"",\""$3\"",\""UWGAZCAPojFi\"",{\""children\"":[[\""$\"",\""$3\"",\""0\"",{\""children\"":\""We retain your data for as long as … "
https://vimeo.com/privacy," … children\"":[[\""$\"",\""$3\"",\""0\"",{\""children\"":\""If we receive legal process pertaining to your account, we will retain your data … "
https://vimeo.com/privacy,"Similarly, if we believe that your account has been involved in wrongdoing, we may preserve your data to … "
https://vimeo.com/privacy," … font-bold\"",\""children\"":\""Team Members\""}]}],[\""$\"",\""$3\"",\""2\"",{\""children\"":\""\\\"") may be able to see and potentially alter your data."
https://vimeo.com/privacy," … jV8RS9k2sreJ\"",{\""children\"":[[\""$\"",\""$3\"",\""0\"",{\""children\"":\""We use physical, technical, and organizational security measures to safeguard your data from … "
https://vimeo.com/privacy," … self-start\"",\""children\"":[[\""$\"",\""$3\"",\""GwDs5H2cxtIA\"",{\""children\"":[[\""$\"",\""$3\"",\""0\"",{\""children\"":\""You may receive other people's data in using … "
